RIDE_ID,driver_id,created_date_local,driver_rating,distance_travelled,total_fare,hour_of_day,day_of_week,hour_block,year,month
1175014,2372,2017-03-12 12:49:17-05:00,5.0,2117.0,6.46,12,Sunday,12-15,2017,3
1175024,153,2017-03-12 12:49:58-05:00,5.0,6115.0,14.84,12,Sunday,12-15,2017,3
1175086,558,2017-03-12 12:53:23-05:00,5.0,21814.0,22.47,12,Sunday,12-15,2017,3
1175088,2229,2017-03-12 12:51:09-05:00,5.0,2525.0,7.16,12,Sunday,12-15,2017,3
1175130,1570,2017-03-12 12:55:09-05:00,5.0,3098.0,9.64,12,Sunday,12-15,2017,3
1175161,2312,2017-03-12 13:02:25-05:00,5.0,3968.0,8.08,13,Sunday,12-15,2017,3
1175163,1636,2017-03-12 12:59:04-05:00,5.0,2409.0,6.66,12,Sunday,12-15,2017,3
1175200,2372,2017-03-12 13:01:19-05:00,,1293.0,6.08,13,Sunday,12-15,2017,3
1175216,654,2017-03-12 13:01:47-05:00,5.0,17438.0,21.02,13,Sunday,12-15,2017,3
1175218,4137,2017-03-12 13:05:29-05:00,5.0,8940.0,12.45,13,Sunday,12-15,2017,3
1175219,846,2017-03-12 13:06:42-05:00,5.0,1660.0,6.18,13,Sunday,12-15,2017,3
1175270,2229,2017-03-12 13:08:30-05:00,5.0,7707.0,11.11,13,Sunday,12-15,2017,3
1175278,3283,2017-03-12 13:07:03-05:00,5.0,8847.0,13.67,13,Sunday,12-15,2017,3
1175312,2312,2017-03-12 13:12:39-05:00,5.0,4227.0,8.33,13,Sunday,12-15,2017,3
1175364,1570,2017-03-12 13:14:25-05:00,,4820.0,9.08,13,Sunday,12-15,2017,3
1175368,153,2017-03-12 13:13:20-05:00,5.0,6197.0,10.41,13,Sunday,12-15,2017,3
1175427,2372,2017-03-12 13:13:28-05:00,5.0,1978.0,6.48,13,Sunday,12-15,2017,3
1175438,846,2017-03-12 13:21:59-05:00,5.0,2976.0,8.47,13,Sunday,12-15,2017,3
1175454,2170,2017-03-12 13:20:54-05:00,5.0,9002.0,13.46,13,Sunday,12-15,2017,3
